authors,bestsellers-rank,categories,description,dimension-x,dimension-y,dimension-z,edition,edition-statement,for-ages,format,id,illustrations-note,image-checksum,image-path,image-url,imprint,index-date,isbn10,isbn13,lang,publication-date,publication-place,rating-avg,rating-count,title,url,weight
[6897],1079004.0,"[352, 2626, 2452, 2567]","Did you know that apples give dragons indigestion? That and many other useful facts can be found in Tales of Great Dragons, along with beautiful pictures to color.",217.0,278.0,8.0,,,9-12,1.0,9780883880753,,572551882404680e5305205979a71287,full/3/d/3/3d3631c55ca0dfd323cbd4cedeeebbe2ce9235b2.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8838/9780883880753.jpg,,,088388075X,9780883880753,en,1987-04-01 00:00:00,,3.38,8.0,Tales of Great Dragons,/Tales-Great-Dragons-J-K-Anderson/9780883880753,227.0
[7329],491016.0,"[334, 339, 2620, 342]","Hisako Onoda, world famous cellist, refuses to fly. And so she travels to Europe as a passenger on a tanker bound through the Panama Canal. But Panama is a country whose politics are as volatile as the local freedom fighters. When Hisako's ship is captured, it is not long before the atmosphere is as flammable as an oxy-acetylene torch, and the tension as sharp as the spike on her cello...CANAL DREAMS is a novel of deceptive simplicity and dark, original power: stark psychological insights mesh with vividly realised scenarios in an ominous projection of global realpolitik. The result is yet another major landmark in the quite remarkable career of an outstanding modern novelist.",128.0,198.0,19.0,,,,1.0,9780349101712,,36d59c54ce0615497d6f7d8150465554,full/e/0/d/e0db7bc8b25336fcc78781142823d55ce2218d0e.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3491/9780349101712.jpg,Abacus,,034910171X,9780349101712,en,1990-07-19 00:00:00,,3.25,3517.0,Canal Dreams,/Canal-Dreams-Iain-Banks/9780349101712,230.0
[7690],520440.0,"[2488, 2500, 2557, 2609]",Arthur thinks his pen pal is more fun than his little sister. Little sisters don't do things like karate and wrestling -- or do they? It takes a surprise letter to show Arthur that sometimes there's more to sisters -- and pen pals -- than meets the eye!,141.0,216.0,5.0,,,0-5,1.0,9780064440325,"Illustrations, unspecified",1b4ae62839dc4001590169102f5f11b8,full/5/e/d/5edb8e3aae84c26ff0a60ceea960882a652355c1.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0644/9780064440325.jpg,HarperCollins Publishers,,006444032X,9780064440325,en,1982-04-07 00:00:00,,3.81,136.0,Arthur's Pen Pal,/Arthurs-Pen-Pal-Lillian-Hoban/9780064440325,109.0
[9129],,"[2859, 2865]",,114.3,157.48,25.4,,,,1.0,9781875137794,,e271bdd52b2f4339de82935aec2e8593,full/c/c/2/cc279da8e046b8d0920f93b3473b67e9df8f081a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8751/9781875137794.jpg,,,1875137793,9781875137794,en,2000-03-01 00:00:00,,3.0,4.0,Vegetarian,/Vegetarian-Fog-City-Press/9781875137794,158.76
[9465],1042640.0,"[2662, 1520, 1532, 1599, 1620, 1640, 2992]","A gripping story of obsession, adventure and the search for our oldest surviving ancestor - 400 million years old - a four-limbed dinofish!",129.0,198.0,15.0,New edition,Revised ed.,,1.0,9781857029079,(30 integrated b/w),4c12d455e064863637ab5b8be2d490c8,full/a/d/e/adeff4ed7bd2368acd2d791d1de9c5f2cc2ba7c3.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8570/9781857029079.jpg,4th Estate,,1857029070,9781857029079,en,2011-08-19 00:00:00,,4.06,833.0,A Fish Caught in Time : The Search for the Coelacanth,/Fish-Caught-Time-Samantha-Weinberg/9781857029079,207.0
[9691],1056552.0,[2865],"PETA, one of the foremost organizations advocating compassion for animals, promotes the use of plant-based substitutes for meat, dairy products, eggs, honey, and other foods derived from animals. With over 200 recipes, Cooking with PETA shows just how easy it is to create delicious, healthful meals without imposing on the other creatures of our planet.",178.0,203.0,12.19,,,,1.0,9781570670442,,1ffeb4324fd466de6d889924cde721cb,full/2/2/8/22842e06e20f73f077ee2b504b83b7ffcd1f234e.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5706/9781570670442.jpg,,,1570670447,9781570670442,en,1997-09-01 00:00:00,,3.41,41.0,Cooking with PETA : Great Vegan Recipes for a Compassionate Kitchen,/Cooking-with-PETA-People-for-Ethical-Treatment-Animals/9781570670442,317.51
[9801],382197.0,"[334, 339, 2620, 342, 352, 2626]",The fearless archaeologist returns in a spectacular adventure!,108.0,178.0,15.49,Media tie-in,Media tie-in,,1.0,9780345361615,,adf98f806b10d0fb660c375041c1b183,full/9/b/e/9be011043599ba00865038e1b9f4c2507e511041.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3453/9780345361615.jpg,Ballantine Books Inc.,,034536161X,9780345361615,en,2008-04-29 00:00:00,,4.24,2072.0,Indiana Jones and the Last Crusade,/Indiana-Jones-Last-Crusade-Mac-Gregor/9780345361615,113.0
[4389],42919.0,"[339, 2620]","Il commissario Montalbano è impegnato in una nuova indagine tra l'immaginaria Vigàta e il promontorio di Tindari. Un triplice omicidio è avvenuto: un giovane dongiovanni che viveva al di sopra dei suoi mezzi apparenti, due anziani pensionati seppelliti in casa che improvvisamente decidono una gita a Tindari. Li collega, sembra, solo un condominio. Ma Montalbano ha una maledizione, sa leggere i segni che provengono dall'""antichissimo"" che vive nel ""modernissimo"" continente Sicilia: lo aiutano un vecchio ulivo contorto, la sua squadra, la svedese Ingrid, un libro di Conrad e un Innominato senza pentimento.",120.0,167.0,14.0,,2. Aufl.,,1.0,9788838915741,,37a00060b1ae50d3a8448a2ead1bd540,full/5/f/e/5fef389677b4e01138982203b450b94e6cf7f404.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/8389/9788838915741.jpg,,,8838915741,9788838915741,it,2000-11-07 00:00:00,,4.03,5873.0,La gita a Tindari,/La-gita-Tindari-Andrea-Camilleri/9788838915741,227.0
[8237],542462.0,"[2488, 2499, 2596]","Smart and independent, 11-year-old Khyber lives with her mom, Tammy, a former stripper, and her autistic twin brothers in a poor Toronto neighborhood. Though she doesn't have a lot in common with her classmates, Khyber does have wonderfully eccentric friends: Valerie, Toronto's meanest waitress, and X, a homeless woman in hiding from ""the secret police."" Despite having to deal with pompous social workers who make her mother cry and ignorant kids who make remarks about her brothers, Khyber manages to enjoy herself, poring over atlases, planning exotic journeys, and taking peanut butter sandwiches to X. But when Tammy decides to move her sons to a group home for proper care, Khyber's world starts to crumble. She fights with her mom and then gets expelled from school. To make matters worse, X suddenly disappears. Khyber sets out to find her in a wild all-night odyssey of self-discovery.",127.0,191.0,9.4,,First Trade Paper Edition,9-12,1.0,9780888993823,,831236e7064851087404fa73bba86135,full/c/e/7/ce79dae69059463b5b6a276293a6900bf6bb0f65.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8889/9780888993823.jpg,,,088899382X,9780888993823,en,2001-08-01 00:00:00,,3.57,329.0,Looking for X,/Looking-for-X-Deborah-Ellis/9780888993823,128.0
[12114],857471.0,"[295, 357, 3124, 669, 684]","The Storyteller's Goddess is a collection of more than 30 stories from 20 cultures that celebrate the goddess. They are organized around seven healing goddess principles and are inspired by traditional goddess lore and ancient artifacts. Each one is introduced by placing it in its cultural and historical context, telling the story's origins, and describing props that can be used to invoke that story's goddess- from Kali and Hecate to Shekina, Kuan Yin, Athena, Mary, and Lilith.",140.0,210.0,20.57,,2nd edition,,1.0,9781569246481,,3f2b0a477bd7384c85cae17ebc29680c,full/c/8/f/c8fdc58bd2592312e71f28b35ab0a2bd1052afda.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5692/9781569246481.jpg,,,1569246483,9781569246481,en,2000-04-01 00:00:00,,3.88,101.0,The Storyteller's Goddess : Tales of the Goddess and Her Wisdom from Around the World,/Storytellers-Goddess-Carolyn-Edwards/9781569246481,403.7
